"year","age","px"
1957,45,0.99197728
1957,46,0.99107463
1957,47,0.99002534
1957,48,0.98882195
1957,49,0.98747787
1957,50,0.98602429
1957,51,0.98451518
1957,52,0.98300898
1957,53,0.98152521
1957,54,0.98004863
1957,55,0.97847808
1957,56,0.97667345
1957,57,0.97448865
1957,58,0.97177511
1957,59,0.96849351
1957,60,0.96467225
1957,61,0.9604801
1957,62,0.95618702
1957,63,0.95200992
1957,64,0.94812755
1957,65,0.94451211
1957,66,0.94101181
1957,67,0.93741033
1957,68,0.9334468
1957,69,0.92892229
1957,70,0.92365962
1957,71,0.91754715
1957,72,0.91051442
1957,73,0.90255334
1957,74,0.89371865
1957,75,0.88414335
1957,76,0.87404044
1957,77,0.86359499
1957,78,0.85295969
1957,79,0.84216006
1957,80,0.8310897
1957,81,0.81959129
1957,82,0.8074628
1957,83,0.79459641
1957,84,0.78100364
1957,85,0.76679075
1957,86,0.75217476
1957,87,0.73734428
1957,88,0.72242547
1957,89,0.70747129
1957,90,0.69242777
1957,91,0.67724481
1957,92,0.66190042
1957,93,0.64644213
1957,94,0.63103776
1957,95,0.615886
1957,96,0.6009475
1957,97,0.58627871
1957,98,0.5719332
1957,99,0.55795956
1957,100,0
1958,0,0.95216226
1958,1,0.99482429
1958,2,0.99622939
1958,3,0.99722638
1958,4,0.99791729
1958,5,0.99838477
1958,6,0.99869202
1958,7,0.99888473
1958,8,0.9989991
1958,9,0.99905842
1958,10,0.99908142
1958,11,0.99908181
1958,12,0.9990688
1958,13,0.99904936
1958,14,0.99902446
1958,15,0.99899252
1958,16,0.99894935
1958,17,0.9988897
1958,18,0.99881238
1958,19,0.998719
1958,20,0.99861781
1958,21,0.99852251
1958,22,0.99844515
1958,23,0.99839534
1958,24,0.99837125
1958,25,0.99836271
1958,26,0.99835526
1958,27,0.99833231
1958,28,0.99828234
1958,29,0.99819675
1958,30,0.99807064
1958,31,0.99790252
1958,32,0.99769263
1958,33,0.9974445
1958,34,0.9971652
1958,35,0.99686681
1958,36,0.99656307
1958,37,0.99626701
1958,38,0.99598327
1958,39,0.99570118
1958,40,0.99539739
1958,41,0.99503088
1958,42,0.99455862
1958,43,0.99394208
1958,44,0.99315064
1958,45,0.99218572
1958,46,0.99106965
1958,47,0.98985762
1958,48,0.98862121
1958,49,0.98741193
1958,50,0.986264
1958,51,0.98515689
1958,52,0.98404285
1958,53,0.98284921
1958,54,0.98148378
1958,55,0.97984082
1958,56,0.97779988
1958,57,0.97526117
1958,58,0.97213757
1958,59,0.96844997
1958,60,0.96431122
1958,61,0.95997265
1958,62,0.9557843
1958,63,0.95197006
1958,64,0.948648
1958,65,0.94563326
1958,66,0.94257492
1958,67,0.93910961
1958,68,0.9348573
1958,69,0.92963061
1958,70,0.92334476
1958,71,0.91606279
1958,72,0.90797138
1958,73,0.89923455
1958,74,0.89001239
1958,75,0.88037803
1958,76,0.87032991
1958,77,0.85983652
1958,78,0.84883885
1958,79,0.83729098
1958,80,0.82516149
1958,81,0.81243851
1958,82,0.79913234
1958,83,0.78527484
1958,84,0.77092211
1958,85,0.75614529
1958,86,0.74102967
1958,87,0.72564551
1958,88,0.71003676
1958,89,0.69422481
1958,90,0.67820036
1958,91,0.66197968
1958,92,0.64562732
1958,93,0.62927088
1958,94,0.61313603
